ID,TravelTime
berlin_38d1ea21,6171
berlin_7e17e92c,4072
berlin_fd197a13,4971
berlin_6be4fa63,7918
berlin_b16de260,4617
berlin_f7707f78,154
berlin_fd4c5f48,17238
berlin_d4ec4228,4955
berlin_e3185175,2336
berlin_0753fd01,1408
berlin_6d4c94d9,5475
berlin_ba95b1a8,2526
berlin_a75c4443,2945
berlin_5c65f29f,7236
berlin_43435bb3,6719
berlin_6cb3527e,9823
berlin_c2940ecb,228
berlin_626a7a77,2100
berlin_ea02d82e,5566
berlin_164a06c4,570
commercialPersonTraffic_service_re_vkz.1651_3_9,13593
berlin_6eef9df7,2415
berlin_96def65f,5544
berlin_d2c30dab,4072
berlin_e3ee97c8,6658
berlin_fd875436,5843
berlin_c969c4cc,4657
berlin_24294622,2662
berlin_7cc201ac,4356
berlin_c58537e0,9876
berlin_17112497,9461
berlin_d4b50068,5054
berlin_d9b49071,10241
berlin_61d4700b,6193
berlin_0f117a2d,10679
berlin_c42ca7eb,7385
berlin_a208bdc5,13083
berlin_d0188318,937
berlin_7c21f24d,5633
berlin_04cc869e,2616
berlin_d14b1708,9191
berlin_820bda3a,2719
berlin_c3f21ad2,2517
berlin_aec8b38c,3898
berlin_65f48c91,11370
berlin_0267b353,2382
berlin_ad687bc1,597
berlin_31c33307,2059
berlin_2428ed62,2647
berlin_66e8b9e5,11493
berlin_375c309e,1676
berlin_907c67ef,7678
berlin_2af715d0,380
berlin_37e52a81,11931
berlin_6e16f968,5265
berlin_0aed7b70,2239
berlin_88ab8f95,6253
berlin_7e85035b,12960
berlin_37ea535d,2464
berlin_741df1a9,4543
berlin_bd53e49b,5205
berlin_cee951d9,10723
berlin_f1100bcf,1470
berlin_8dc377f0,381
berlin_351ce419,5724
berlin_78dfe2b7,2940
berlin_cb8333e1,7929
berlin_641ea3e8,7127
berlin_9b7ebe97,1756
berlin_53dc578e,19521
berlin_77846ba2,980
berlin_a8ef570e,2118
berlin_5d2b2cd7,1928
berlin_8b7aae1b,2448
berlin_9f9fdb63,7580
berlin_aed668d0,14622
berlin_a3ef9185,4809
berlin_2103c737,2422
berlin_09119ee1,3040
berlin_15d609c6,588
berlin_6010d7e0,813
berlin_fe4fddad,766
berlin_881ba48b,6746
berlin_c9ddd622,3244
berlin_585a6f00,5323
berlin_098b6ddf,2493
berlin_fc0ec06c,10072
berlin_0e61c37a,7805
berlin_90854ed9,1831
berlin_f6fd480a,4230
berlin_e801bb08,1780
berlin_9306a91a,4599
berlin_1271900d,2178
berlin_06cc91d9,26165
berlin_4f0d8614,5569
berlin_48af61be,4930
berlin_4ef0cf33,2061
berlin_4588b641,5497
berlin_4c96b95e,5026
berlin_f02c5e80,2054
berlin_37db4b46,7689
berlin_e629decf,5182
berlin_1f249a95,5578
berlin_f907a418,3428
berlin_0f93462b,6373
berlin_5f5ed392,9447
berlin_e9cfdfec,7963
berlin_a809734d,5216
berlin_4943fbcc,4426
berlin_699c0e86,452
berlin_b4b1e7c2,5154
berlin_196694be,8560
berlin_007886de,2725
berlin_4069adc3,2125
berlin_53dc7517,11659
berlin_75993258,5424
berlin_21e80623,9040
berlin_27b09a46,17205
berlin_a743e600,3113
berlin_8fc6d8da,4163
berlin_a2ccf40e,4157
berlin_516d371f,7128
berlin_a7ec4a05,2401
berlin_0c6d271e,2218
berlin_422ff379,2795
berlin_143022a2,14359
berlin_159c10b0,3592
berlin_294cb010,3716
berlin_9fece509,7424
berlin_a0a9337b,2555
berlin_f3a1b62d,13585
berlin_b9118a5c,2521
berlin_05c36c2a,3596
berlin_1def7ba4,4978
berlin_a419e6d6,1738
berlin_0256554d,4737
berlin_d4f1fe56,572
berlin_a08005c7,2756
berlin_8b4ad343,2998
berlin_8d0a3a75,7667
berlin_88794fdf,1151
berlin_5af1f212,1922
berlin_e6465526,3143
berlin_02cf421f,2544
berlin_19bb1323,6350
berlin_17055a6a,3167
berlin_fbc04f8e,874
berlin_e5120707,2234
berlin_50188643,4150
berlin_483a4f45,7705
berlin_a4add7ac,6030
berlin_8db957a0,1531
berlin_6ea42073,2918
berlin_4304d3c3,956
berlin_af09b0fd,2622
berlin_d933919a,4364
berlin_9b07202d,3362
berlin_a8c50111,3993
berlin_7c009cec,9435
berlin_5ef8b68f,234
berlin_472b896e,1237
berlin_eebff598,5191
berlin_3555faa5,2404
berlin_4a0c60c6,5076
berlin_7655712a,1269
berlin_032bd22d,7162
berlin_b7905528,5912
berlin_f5eac270,1960
berlin_26afc8fd,6612
berlin_595600d5,2184
berlin_0ed02161,11806
berlin_29d5164e,9914
berlin_76a535ea,8711
berlin_a31937eb,5480
berlin_1a807786,5600
berlin_e9984c94,425
berlin_567281e4,4145
berlin_d64bf910,8356
berlin_8ec72674,7711
berlin_c7c68abb,8459
berlin_1b128245,5086
berlin_534c6d3b,1514
berlin_595f4f33,8564
berlin_e823644e,4995
berlin_1ebf7ff2,3843
berlin_63791fa0,14189
berlin_96b1dced,554
berlin_6f0ce883,7145
berlin_017e1450,17993
berlin_1c14aba8,13961
berlin_3e8ae926,5015
berlin_7461b32b,7862
berlin_62ce16fb,5919
berlin_90fceb21,1050
berlin_4b6226b8,12654
berlin_ca5e9faf,6739
berlin_7072daab,4240
berlin_300f36f6,11014
berlin_9773c279,1533
berlin_41dea970,650
berlin_71b9392b,9971
berlin_9ea50cf2,2810
berlin_ce8a4028,8364
berlin_cb26d5f5,14644
berlin_19652808,5608
berlin_ab846abd,9591
berlin_62885e83,3019
berlin_f565b5f7,7786
goodsTraffic_re_vkz.1651_6_3,3023
berlin_3fe9c5b3,5691
berlin_cd978407,7381
berlin_1cfd895a,1286
berlin_bc65f321,7771
berlin_d7f5fdb5,2314
berlin_3db08669,7381
berlin_1ce38c83,5299
berlin_e62b5294,6127
berlin_3596dc6c,7373
berlin_10ce3f99,821
berlin_30c8b3e8,3761
berlin_c2d3aa49,7270
berlin_1c25b893,7891
berlin_82338e16,9639
berlin_ae9cf0d4,7822
berlin_4ed44818,7734
berlin_85e44e86,6298
berlin_ecc88c4c,2653
berlin_e842b05d,9767
berlin_dce36989,1982
berlin_465b691d,3061
berlin_578827b8,4057
berlin_e9b9e576,2259
berlin_252da84b,3623
berlin_0e75c8ee,9349
berlin_bae24230,3287
berlin_aac792b9,428
berlin_185a8995,14080
berlin_1dfc17d3,1847
berlin_38bc5f07,3596
berlin_82b8d93d,2045
berlin_8c3b12d6,496
berlin_96213e86,3936
berlin_f0226557,2281
berlin_3fd3bfd1,1173
berlin_5c25db76,10063
berlin_22a7ec6f,399
berlin_55fac4d7,2142
berlin_d365602c,864
berlin_e664a3dd,7126
berlin_0e2a6022,7289
berlin_6dbdd8cf,8343
berlin_6f34a3b6,4703
berlin_62f2cff8,6398
berlin_e1363f6e,1748
berlin_f0a8e723,5082
berlin_1f06f65d,1633
berlin_48f6b461,3306
berlin_9b102c1a,3504
goodsTraffic_re_vkz.1603_4_3,15402
berlin_6a2ccd85,2340
berlin_a34d3b4c,750
berlin_c5efd475,2036
berlin_0d8419d6,218
berlin_3bdefac4,6537
berlin_b8123b02,2804
berlin_e9cffdcf,4924
berlin_55953180,9946
berlin_888840a9,536
berlin_c5b1952a,3174
berlin_af44454e,3997
berlin_271e9a63,5308
berlin_91859871,7427
berlin_0fde165f,6110
berlin_c93d5323,7605
berlin_dc7bb3fd,6247
berlin_d9b3e609,5692
berlin_41e2cb63,3130
berlin_341eb8ec,985
berlin_9ca00fe4,728
berlin_a6c0ddc7,4559
berlin_29c67492,8168
berlin_6329c164,3640
berlin_cdd0842c,9362
berlin_a25eadbf,2106
berlin_f522e37f,4159
berlin_22453f47,8568
berlin_d16380d1,1602
commercialPersonTraffic_re_vkz.1661_1_0,18874
berlin_6e821872,2952
berlin_c4cee776,294
berlin_cfb8a244,4982
berlin_c814d2c5,3062
berlin_4a0ee1f3,4024
berlin_74ae4f82,1040
berlin_b4cfdfb8,7012
berlin_97d008be,10868
berlin_1bc7eaa8,7912
berlin_8d8f4753,4876
berlin_8facbc9a,1995
berlin_cc516815,2516
berlin_e193ad14,6662
berlin_b69ef4dc,3543
berlin_271c6a51,13613
berlin_5082f11a,10139
berlin_19b507ea,6220
berlin_3be6b362,7459
berlin_c9dd7093,5481
berlin_19d474c6,3981
berlin_5860bc50,5490
berlin_65e84766,3658
berlin_427ec931,955
berlin_fd991e5a,13091
berlin_9cf322d0,9294
berlin_785d5b53,1178
