Minute,Util_M1-,Util_PT
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
101,0,0
102,0,0
103,0,0
104,0,0
105,0,0
106,0,0
107,0,0
108,0,0
109,0,0
110,0,0
111,0,0
112,0,0
113,0,0
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
120,0,0
121,0,0
122,0,0
123,0,0
124,0,0
125,0,0
126,0,0
127,0,0
128,0,0
129,0,0
130,0,0
131,0,0
132,0,0
133,0,0
134,0,0
135,0,0
136,0,0
137,0,0
138,0,0
139,0,0
140,0,0
141,0,0
142,0,0
143,0,0
144,0,0
145,0,0
146,0,0
147,0,0
148,0,0
149,0,0
150,0,0
151,0,0
152,0,0
153,0,0
154,0,0
155,0,0
156,0,0
157,0,0
158,0,0
159,0,0
160,0,0
161,0,0
162,0,0
163,0,0
164,0,0
165,0,0
166,0,0
167,0,0
168,0,1
169,0,1
170,0,1
171,0,2
172,0,2
173,0,2
174,0,2
175,0,2
176,0,2
177,0,2
178,0,2
179,0,2
180,0,3
181,0,3
182,0,3
183,0,3
184,0,3
185,0,4
186,0,4
187,0,4
188,0,4
189,0,4
190,0,4
191,0,5
192,0,5
193,0,5
194,0,5
195,0,5
196,0,6
197,0,6
198,0,6
199,0,6
200,0,6
201,0,6
202,0,6
203,0,6
204,0,6
205,0,6
206,0,6
207,0,7
208,0,7
209,0,8
210,0,8
211,0,7
212,0,7
213,0,7
214,0,7
215,0,7
216,0,7
217,0,7
218,0,9
219,0,10
220,0,10
221,0,10
222,0,10
223,0,9
224,0,9
225,0,9
226,0,9
227,0,9
228,0,9
229,0,9
230,0,9
231,0,9
232,0,10
233,0,10
234,0,10
235,0,9
236,0,10
237,0,11
238,0,13
239,0,12
240,0,12
241,0,11
242,0,11
243,0,11
244,0,12
245,0,13
246,0,13
247,0,13
248,0,14
249,0,14
250,0,14
251,0,14
252,0,15
253,1,15
254,1,15
255,1,15
256,1,15
257,1,15
258,1,15
259,1,15
260,1,14
261,1,16
262,1,15
263,1,18
264,1,19
265,0,19
266,0,22
267,0,22
268,0,23
269,0,24
270,0,25
271,0,26
272,0,28
273,0,25
274,0,27
275,0,29
276,0,30
277,0,30
278,0,33
279,0,37
280,0,39
281,0,41
282,0,44
283,0,48
284,0,48
285,0,53
286,0,56
287,0,57
288,0,61
289,0,59
290,0,62
291,0,64
292,0,68
293,0,68
294,0,68
295,0,70
296,0,74
297,0,77
298,0,84
299,0,85
300,0,86
301,0,89
302,0,90
303,0,92
304,0,98
305,0,98
306,0,98
307,0,103
308,0,102
309,0,103
310,0,104
311,0,110
312,0,116
313,0,121
314,0,124
315,0,130
316,0,133
317,0,137
318,0,136
319,0,140
320,0,145
321,0,146
322,0,145
323,0,151
324,0,153
325,0,161
326,0,166
327,0,170
328,0,174
329,1,176
330,1,181
331,1,184
332,1,191
333,1,195
334,1,197
335,1,211
336,1,217
337,1,228
338,1,239
339,0,248
340,0,251
341,0,261
342,0,265
343,0,275
344,0,281
345,1,291
346,1,296
347,1,310
348,1,315
349,1,323
350,1,325
351,1,333
352,1,344
353,1,345
354,1,355
355,1,365
356,1,363
357,1,366
358,1,378
359,1,376
360,1,397
361,1,407
362,1,419
363,1,425
364,1,434
365,1,446
366,1,458
367,1,466
368,1,484
369,1,487
370,1,493
371,1,498
372,1,500
373,1,512
374,1,508
375,1,523
376,1,526
377,1,530
378,1,538
379,2,540
380,2,544
381,2,566
382,3,572
383,3,591
384,3,600
385,3,619
386,3,637
387,3,648
388,3,676
389,3,674
390,3,688
391,3,706
392,3,711
393,3,706
394,3,720
395,2,742
396,3,754
397,4,766
398,4,773
399,4,796
400,3,816
401,3,825
402,3,834
403,2,840
404,2,843
405,1,862
406,1,858
407,1,871
408,1,875
409,2,902
410,2,922
411,2,931
412,2,922
413,2,942
414,2,955
415,3,971
416,3,986
417,3,991
418,3,994
419,3,1007
420,4,1026
421,4,1035
422,5,1047
423,5,1064
424,5,1063
425,6,1078
426,6,1077
427,6,1073
428,6,1095
429,6,1102
430,5,1119
431,5,1142
432,5,1165
433,5,1194
434,5,1202
435,4,1232
436,4,1240
437,3,1247
438,4,1249
439,4,1267
440,4,1290
441,4,1312
442,4,1340
443,5,1355
444,6,1396
445,6,1405
446,5,1407
447,5,1444
448,4,1469
449,5,1487
450,5,1511
451,6,1543
452,5,1580
453,5,1613
454,5,1641
455,4,1663
456,3,1679
457,3,1706
458,3,1733
459,3,1769
460,3,1789
461,3,1827
462,4,1830
463,5,1853
464,6,1862
465,5,1902
466,5,1917
467,5,1930
468,5,1931
469,5,1953
470,4,1950
471,5,1962
472,6,1982
473,8,1956
474,8,1952
475,7,1997
476,9,1997
477,9,1993
478,9,1967
479,10,1950
480,9,1973
481,9,1978
482,8,1988
483,7,2010
484,8,2009
485,9,2040
486,9,2009
487,10,2004
488,10,2001
489,11,1996
490,11,1999
491,10,1976
492,11,1969
493,12,1944
494,11,1925
495,11,1921
496,11,1895
497,11,1882
498,11,1900
499,9,1865
500,10,1871
501,10,1857
502,10,1847
503,9,1841
504,8,1820
505,8,1835
506,9,1820
507,8,1805
508,8,1832
509,9,1835
510,9,1829
511,10,1835
512,11,1866
513,11,1856
514,11,1837
515,11,1845
516,12,1854
517,12,1866
518,12,1898
519,12,1900
520,10,1894
521,11,1890
522,12,1874
523,8,1869
524,8,1836
525,7,1840
526,7,1808
527,8,1792
528,9,1779
529,8,1752
530,7,1767
531,6,1770
532,6,1747
533,6,1739
534,6,1693
535,9,1712
536,11,1703
537,11,1689
538,11,1706
539,13,1683
540,11,1665
541,10,1654
542,10,1650
543,10,1638
544,9,1616
545,7,1625
546,7,1617
547,7,1603
