Minute,Util_U2,Util_PT
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
101,0,0
102,0,0
103,0,0
104,0,0
105,0,0
106,0,0
107,0,0
108,0,0
109,0,0
110,0,0
111,0,0
112,0,0
113,0,0
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
120,0,0
121,0,0
122,0,0
123,0,0
124,0,0
125,0,0
126,0,0
127,0,0
128,0,0
129,0,0
130,0,0
131,0,0
132,0,0
133,0,0
134,0,0
135,0,0
136,0,0
137,0,0
138,0,0
139,0,0
140,0,0
141,0,0
142,0,0
143,0,0
144,0,0
145,0,0
146,0,0
147,0,0
148,0,0
149,0,0
150,0,0
151,0,0
152,0,0
153,0,0
154,0,0
155,0,0
156,0,0
157,0,0
158,0,0
159,0,0
160,0,0
161,0,0
162,0,0
163,0,0
164,0,0
165,0,0
166,0,0
167,0,0
168,0,1
169,0,1
170,0,1
171,0,2
172,0,2
173,0,2
174,0,2
175,0,2
176,0,2
177,0,2
178,0,2
179,0,2
180,0,3
181,0,3
182,0,3
183,0,3
184,0,3
185,0,4
186,0,4
187,0,4
188,0,4
189,0,4
190,0,4
191,0,5
192,0,5
193,0,5
194,0,5
195,0,5
196,0,6
197,0,6
198,0,6
199,0,6
200,0,6
201,0,6
202,0,6
203,0,6
204,0,6
205,0,6
206,0,6
207,0,7
208,0,7
209,0,8
210,0,8
211,0,7
212,0,7
213,0,7
214,0,7
215,0,7
216,0,7
217,0,7
218,0,9
219,0,10
220,0,10
221,0,10
222,0,10
223,0,9
224,0,9
225,0,9
226,0,9
227,0,9
228,0,9
229,0,9
230,0,9
231,0,9
232,0,10
233,0,10
234,0,10
235,0,9
236,0,10
237,0,11
238,0,13
239,0,12
240,0,12
241,0,11
242,0,11
243,0,11
244,0,12
245,0,13
246,0,13
247,0,13
248,0,14
249,0,14
250,0,14
251,0,14
252,0,15
253,0,15
254,0,15
255,0,15
256,0,15
257,0,15
258,0,15
259,0,15
260,0,14
261,0,16
262,0,15
263,0,18
264,0,19
265,0,19
266,0,22
267,0,22
268,0,23
269,0,24
270,1,25
271,1,26
272,1,28
273,1,25
274,1,27
275,1,29
276,1,30
277,1,30
278,1,33
279,1,37
280,1,39
281,1,41
282,1,44
283,1,48
284,1,48
285,1,53
286,1,56
287,1,57
288,1,61
289,0,59
290,0,62
291,0,64
292,0,68
293,0,68
294,0,68
295,0,70
296,0,74
297,0,77
298,0,84
299,0,85
300,0,86
301,0,89
302,0,90
303,0,92
304,0,98
305,0,98
306,0,98
307,0,103
308,0,102
309,0,103
310,1,104
311,1,110
312,1,116
313,1,121
314,1,124
315,1,130
316,1,133
317,1,137
318,1,136
319,1,140
320,1,145
321,1,146
322,1,145
323,3,151
324,4,153
325,4,161
326,4,166
327,4,170
328,4,174
329,4,176
330,3,181
331,3,184
332,4,191
333,4,195
334,3,197
335,3,211
336,4,217
337,5,228
338,5,239
339,7,248
340,7,251
341,7,261
342,7,265
343,7,275
344,7,281
345,7,291
346,5,296
347,5,310
348,5,315
349,5,323
350,4,325
351,4,333
352,4,344
353,4,345
354,3,355
355,4,365
356,4,363
357,4,366
358,6,378
359,6,376
360,7,397
361,8,407
362,9,419
363,9,425
364,8,434
365,7,446
366,7,458
367,6,466
368,7,484
369,6,487
370,7,493
371,8,498
372,9,500
373,10,512
374,10,508
375,10,523
376,10,526
377,10,530
378,11,538
379,10,540
380,10,544
381,10,566
382,10,572
383,8,591
384,9,600
385,12,619
386,12,637
387,12,648
388,15,676
389,13,674
390,12,688
391,13,706
392,11,711
393,10,706
394,10,720
395,11,742
396,12,754
397,11,766
398,11,773
399,15,796
400,13,816
401,13,825
402,15,834
403,17,840
404,17,843
405,16,862
406,16,858
407,15,871
408,14,875
409,16,902
410,18,922
411,17,931
412,17,922
413,16,942
414,15,955
415,16,971
416,15,986
417,15,991
418,18,994
419,18,1007
420,16,1026
421,16,1035
422,17,1047
423,17,1064
424,18,1063
425,20,1078
426,19,1077
427,20,1073
428,19,1095
429,16,1102
430,15,1119
431,14,1142
432,17,1165
433,17,1194
434,17,1202
435,19,1232
436,16,1240
437,17,1247
438,17,1249
439,21,1267
440,23,1290
441,24,1312
442,22,1340
443,23,1355
444,24,1396
445,23,1405
446,24,1407
447,25,1444
448,26,1469
449,27,1487
450,27,1511
451,24,1543
452,25,1580
453,29,1613
454,30,1641
455,33,1663
456,33,1679
457,37,1706
458,37,1733
459,38,1769
460,37,1789
461,32,1827
462,32,1830
463,32,1853
464,31,1862
465,32,1902
466,31,1917
467,28,1930
468,28,1931
469,29,1953
470,25,1950
471,27,1962
472,29,1982
473,29,1956
474,29,1952
475,35,1997
476,40,1997
477,37,1993
478,37,1967
479,37,1950
480,40,1973
481,36,1978
482,38,1988
483,40,2010
484,39,2009
485,40,2040
486,40,2009
487,42,2004
488,40,2001
489,42,1996
490,41,1999
491,42,1976
492,41,1969
493,42,1944
494,39,1925
495,36,1921
496,32,1895
497,29,1882
498,28,1900
499,31,1865
500,30,1871
501,30,1857
502,33,1847
503,33,1841
504,36,1820
505,35,1835
506,37,1820
507,37,1805
508,40,1832
509,42,1835
510,44,1829
511,45,1835
512,43,1866
513,43,1856
514,42,1837
515,43,1845
516,44,1854
517,44,1866
518,45,1898
519,46,1900
520,43,1894
521,44,1890
522,44,1874
523,42,1869
524,44,1836
525,41,1840
526,41,1808
527,42,1792
528,42,1779
529,39,1752
530,39,1767
531,34,1770
532,32,1747
533,32,1739
534,31,1693
535,30,1712
536,32,1703
537,34,1689
538,33,1706
539,31,1683
540,32,1665
541,33,1654
542,32,1650
543,39,1638
544,37,1616
545,43,1625
546,40,1617
547,42,1603
548,41,1579
