Minute,Util_M1,Util_PT
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
101,0,0
102,0,0
103,0,0
104,0,0
105,0,0
106,0,0
107,0,0
108,0,0
109,0,0
110,0,0
111,0,0
112,0,0
113,0,0
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
120,0,0
121,0,0
122,0,0
123,0,0
124,0,0
125,0,0
126,0,0
127,0,0
128,0,0
129,0,0
130,0,0
131,0,0
132,0,0
133,0,0
134,0,0
135,0,0
136,0,0
137,0,0
138,0,0
139,0,0
140,0,0
141,0,0
142,0,0
143,0,0
144,0,0
145,0,0
146,0,0
147,0,0
148,0,0
149,0,0
150,0,0
151,0,0
152,0,0
153,0,0
154,0,0
155,0,0
156,0,0
157,0,0
158,0,0
159,0,0
160,0,0
161,0,0
162,0,0
163,0,0
164,0,0
165,0,0
166,0,0
167,0,0
168,0,1
169,0,1
170,0,1
171,0,2
172,0,2
173,0,2
174,0,2
175,0,2
176,0,2
177,0,2
178,0,2
179,0,2
180,0,2
181,0,2
182,0,2
183,0,2
184,0,2
185,0,2
186,0,4
187,0,4
188,0,4
189,0,4
190,0,4
191,0,5
192,0,5
193,0,6
194,0,5
195,0,5
196,0,6
197,0,6
198,0,6
199,0,6
200,0,6
201,0,6
202,0,6
203,0,6
204,0,6
205,0,6
206,0,6
207,0,7
208,0,7
209,0,8
210,0,8
211,0,7
212,0,7
213,0,7
214,0,7
215,0,7
216,0,7
217,0,7
218,0,8
219,0,10
220,0,10
221,0,11
222,0,11
223,0,11
224,0,11
225,0,11
226,0,11
227,0,11
228,0,11
229,0,12
230,0,12
231,0,12
232,0,12
233,0,12
234,0,13
235,0,11
236,0,12
237,0,13
238,0,15
239,0,14
240,0,14
241,0,13
242,0,13
243,0,13
244,0,14
245,0,15
246,0,15
247,0,15
248,0,16
249,0,16
250,0,16
251,0,16
252,0,17
253,1,18
254,1,18
255,1,18
256,1,18
257,1,19
258,1,19
259,1,19
260,1,18
261,1,19
262,1,18
263,1,21
264,1,21
265,0,21
266,0,24
267,0,25
268,0,26
269,0,27
270,0,29
271,0,29
272,0,30
273,0,27
274,1,30
275,1,30
276,1,30
277,2,32
278,2,34
279,2,37
280,2,39
281,2,43
282,2,45
283,2,46
284,2,45
285,2,50
286,2,53
287,2,54
288,2,57
289,2,56
290,2,58
291,2,62
292,2,66
293,2,66
294,2,65
295,0,65
296,1,69
297,1,72
298,1,79
299,1,81
300,1,84
301,1,86
302,2,86
303,2,90
304,2,96
305,2,96
306,1,94
307,1,101
308,1,101
309,1,101
310,2,103
311,2,109
312,1,113
313,1,116
314,1,120
315,1,129
316,1,130
317,0,137
318,0,137
319,1,139
320,2,144
321,2,146
322,2,147
323,3,153
324,3,154
325,3,164
326,3,170
327,3,176
328,3,177
329,5,179
330,5,182
331,5,185
332,5,192
333,4,200
334,4,201
335,4,210
336,4,220
337,4,232
338,4,237
339,4,253
340,5,258
341,4,267
342,3,269
343,3,277
344,3,283
345,4,291
346,5,292
347,6,304
348,7,305
349,7,325
350,7,325
351,7,336
352,7,348
353,7,353
354,9,356
355,10,369
356,11,373
357,9,373
358,8,383
359,8,379
360,9,401
361,11,411
362,11,425
363,11,431
364,12,443
365,12,449
366,12,456
367,11,462
368,12,483
369,11,484
370,11,490
371,11,486
372,11,497
373,11,506
374,9,503
375,9,516
376,9,518
377,9,521
378,9,537
379,11,539
380,11,547
381,10,561
382,9,564
383,8,579
384,7,586
385,7,613
386,6,634
387,6,648
388,9,668
389,8,664
390,8,681
391,8,695
392,8,702
393,8,703
394,10,714
395,9,740
396,10,748
397,12,765
398,13,776
399,12,791
400,9,814
401,10,828
402,10,836
403,9,843
404,10,842
405,9,853
406,9,855
407,9,866
408,8,874
409,9,902
410,9,924
411,10,931
412,12,923
413,11,941
414,12,958
415,11,975
416,11,990
417,10,999
418,10,1001
419,8,1008
420,7,1024
421,8,1034
422,10,1046
423,9,1061
424,12,1060
425,13,1084
426,13,1084
427,15,1088
428,16,1097
429,15,1105
430,16,1121
431,15,1139
432,15,1156
433,16,1190
434,17,1202
435,16,1231
436,15,1230
437,15,1252
438,15,1256
439,15,1261
440,18,1283
441,20,1288
442,21,1322
443,21,1341
444,23,1375
445,24,1384
446,28,1389
447,28,1427
448,31,1472
449,31,1482
450,30,1515
451,36,1531
452,34,1559
453,35,1595
454,33,1629
455,36,1658
456,37,1684
457,38,1694
458,38,1716
459,45,1749
460,47,1766
461,47,1823
462,46,1828
463,47,1867
464,50,1882
465,48,1924
466,49,1939
467,48,1945
468,50,1943
469,53,1970
470,50,1966
471,49,1983
472,43,1994
473,47,1974
474,48,1957
475,49,2001
476,52,2006
477,52,2003
478,49,1984
479,46,1956
480,46,1980
481,48,1988
482,50,2001
483,45,2024
484,44,2026
485,45,2059
486,46,2024
487,44,2010
488,43,2000
489,43,2006
490,41,2012
491,41,1987
492,46,1995
493,44,1980
494,44,1950
495,44,1947
496,43,1920
497,45,1902
498,40,1913
499,41,1867
500,42,1884
501,43,1878
502,44,1860
503,44,1861
504,43,1837
505,44,1843
506,46,1821
507,46,1798
508,48,1826
509,48,1840
510,44,1827
511,45,1833
512,48,1845
513,43,1837
514,40,1829
515,43,1842
516,41,1846
517,39,1856
518,39,1885
519,40,1892
520,41,1890
521,38,1879
522,40,1867
523,37,1877
524,37,1832
525,40,1842
526,43,1809
527,45,1798
528,41,1784
529,44,1759
530,44,1766
531,47,1769
532,48,1747
533,49,1746
534,50,1712
535,50,1727
536,50,1718
537,49,1706
538,45,1710
539,45,1684
540,40,1681
541,43,1676
542,43,1667
543,46,1641
544,41,1617
545,44,1628
546,44,1616
547,45,1611
